source,content
SABAH,"

Çevre, Şehircilik ve İklim Değişikliği Bakanlığından yapılan açıklamaya göre, Hasar, Avrupa Birliği Katılım Öncesi Mali Yardım Programı (IPA) II kapsamındaki hibe programına ilişkin bilgi verdi.
Hasar, Türkiye'de İklim Değişikliğine Uyum Eyleminin Güçlendirilmesi Projesi İklim Değişikliğine Uyum Hibe Programıyla, toplumların dirençliliğinin artırılmasının, doğal kaynaklar ve ekosistemlerin geliştirilmesinin, etkilenebilir sosyal kesimlerin, şehirlerin ve ekonomik sektörlerin uyum kapasitelerinin artırılmasının hedeflendiğini vurguladı.
İklim değişikliğine uyum eylemlerinin yerel koşullara göre planlanması gerektiğini belirten Hasar, 2053 Net Sıfır Emisyon ve Yeşil Kalkınma Hedefleri kapsamında çalışmalarını sürdürdüklerini kaydetti.
Hasar, bir yandan çevrenin korunması ve geliştirilmesi adına çalışmalar yürütürken diğer yandan da iklim krizine karşı tüm paydaşlarla işbirliklerini artırdıklarını, Türkiye'nin tamamında iklim değişikliğiyle mücadeleyi temin etmek için hem rehberlik hizmetinde bulunduklarını hem de finansman desteği sağladıklarını ve bu kapsamda yeni hibe programının hazır olduğunu bildirdi. Hasar, şunları kaydetti:
""Hibe Programı belediyeler, bölge ve il müdürlükleri, bölgesel kalkınma ajansları, sivil toplum kuruluşları, üniversiteler, araştırma kurumları, toplum temelli kuruluşlar, odalar, birlikler ve aynı zamanda etkilenebilir tüm noktalara ulaşacak. Yerel ve bölgesel düzeyde iklim değişikliğine uyum kapsamında 6,8 milyon avro hibe vereceğiz. 2053 Net Sıfır Emisyon ve Yeşil Kalkınma hedefine ulaşmak için çalışmalarımızı kararlılıkla sürdüreceğiz. Ulusal İklim Değişikliği Uyum Planları'nda belirtilen eylemlerin hibe programıyla yerelde uygulanmasını hedefliyoruz. Yerelde iklim değişikliğine uyumu gerçekleştirdiğimizde, şehirlerimiz iklim değişikliğine karşı dirençli hale gelecek. Özellikle vatandaşlarımıza ilk hizmet noktası olan belediyelerimizin iklim değişikliğine uyum noktasında kendilerini güncellemeleri için bu finansman desteği büyük önem arz ediyor. İnşallah 2053 Net Sıfır Emisyon ve Yeşil Kalkınma hedeflerimiz kapsamında toplumun tüm kesimiyle güçlü adımlar atmaya devam edeceğiz.""

 


"
SABAH,"

Seferihisar Belediye Başkanı iken ilçede bulunan Tarihi Rum Kilisesi'ne ait çanın makamlara bildirilmeden Yunan Konsolosluğu'na verildiği iddiası soruşturma konusu oldu. İçişleri Bakanlığı Soyer hakkında soruşturma izni verdi. Bakanlık tarafından görevlendirilen mülkiye müfettişleri Seferihisar'a giderek bazı kişilerin bilgisine başvurdu. Geçtiğimiz günlerde İçişleri Bakanlığı İzmir Büyükşehir Belediye Başkanı Tunç Soyer'in geçtiğimiz yıl İzmir'in düşman işgalinden kurtuluş yıldönümü olan 9 Eylül'de Gündoğdu Meydanındaki Tarkan Konseri öncesi yaptığı konuşmayı da mercek altına almış ardından da Osmanlı'nın son İmparator Vahdeddin'e hakaret ettiği iddiası ile Soyer hakkında soruşturma izni vermişti.

İFADESİNE BAŞVURULACAK
Soruşturma kapsamında önümüzdeki günlerde mülkiye başmüfettişlerinin Soyer'in ifadesine başvurabileceği belirtildi. Soyer konuya ilişkin yaptığı açıklamada kayıp çanla ilgili bir bilgisinin olmadığını öne sürdü.


 


"
SABAH,"

Son dakika haberi... Başkan Recep Tayyip Erdoğan, Ankara'da yerel seçimlerle ilgili A Haber'e özel açıklamalarda bulundu. Başkan Erdoğan, İstanbul, Ankara ve İzmir'de aday gösterilecek kişiler hakkında ""Telaşlanmayın. Vakti saati gelince duyarsınız."" dedi.

"
SABAH,"

İYİ Parti'de seçimlerin ardından başlayan kriz aşılamadı. Ardı ardına istifaların yaşandığı partide, bu kez de 132 milyon liralık kayıp para kavgası başladı.

"
SABAH,"

Son dakika haberi: Gazze'de çatışmalara ""insani ara"" verildiğine dair haberlerin geldiği süreçte Dışişleri Bakanı Hakan Fidan da çatışmanın tümüyle durdurulmasına ve kalıcı barışın sağlanmasına yönelik diplomatik temaslara hız verdi. Bakan Fidan, İslam İşbirliği Teşkilatı (İİT) ve Arap Ligi'ni temsil eden temas grubunda yer alan Filistin, Suudi Arabistan, Endonezya, Mısır, Ürdün, Katar ve Nijerya dışişleri bakanlarıyla Çin ve Rusya'nın ardından İngiltere ve Fransa'da temaslarda bulundu.

"
SABAH,"

Kültür ve Turizm Bakanı Mehmet Nuri Ersoy, ""Güzel bir haberimiz var!"" notuyla sosyal medya hesabından, Türkiye'nin ""UNESCO Dünya Miras Komitesi"" üyeliğine seçildiğini kaydetti.
Bakan Ersoy şu ifadeleri kullandı:
Ülkemiz, Fransa'nın başkenti Paris'te bugün gerçekleştirilen ""24. Taraf Devletler Genel Kurulu"" oturumunda yapılan oylama ile komite üyesi oldu.  
Türkiye 4 yıl sürecek üyeliği süresince Dünya Miras Sözleşmesi'nin yürütme organı olan ve yılda bir kez toplanan Dünya Miras Komitesi toplantılarında komitenin diğer üyeleri ile birlikte dünya miras listesi adayları ile ilgili karar alma sürecinde söz sahibi olacak.
Ülkemiz 1983-1989 ve 2013-2017 yılları arasında da UNESCO Dünya Miras Komitesi'nde yer almıştı. 
 

Güzel bir haberimiz var!

Türkiye, ""UNESCO Dünya Miras Komitesi"" üyeliğine seçildi.

Ülkemiz, Fransa'nın başkenti Paris'te bugün gerçekleştirilen ""24. Taraf Devletler Genel Kurulu"" oturumunda yapılan oylama ile komite üyesi oldu.

Türkiye 4 yıl sürecek üyeliği süresince Dünya…
— Mehmet Nuri Ersoy (@MehmetNuriErsoy) November 22, 2023


 


"
SABAH,"

Başkan Recep Tayyip Erdoğan, sosyal medya hesabından yaptığı açıklamada, şunları kaydetti:
KENDİNİ SAVUNMA HAKKIYLA AÇIKLANAMAZ
İki gün önce 20 Kasım Dünya Çocuk Hakları Günü'ydü. 7 bine yakın masum Filistinli çocuk maalesef bu günü göremedi. Çünkü İsrail yönetimi, bu çocuklarla birlikte 14 bin sivilin en temel hakkı olan ""yaşama hakkını"" onların elinden aldı. Filistinlileri kendi yurtlarından göçe zorladı; ölümden kaçmak için son bir umutla sığındıkları hastaneleri, okulları, kampları, ibadethaneleri, kiliseleri acımasızca bombaladı. Hatta bugüne kadar varlığını hep inkâr ettikleri nükleer bomba kullanma tehdidinde bulunacak kadar kontrolü kaybettiler. Elini vicdanına koyan herkesin kabul edeceği üzere bu yaşananların hiçbiri kendini savunma hakkıyla açıklanamaz.
TÜM ÜLKELERE İNİSİYATİF ÇAĞRISI
Burada açıkça savaş suçu ve insanlığa karşı suç işlenmektedir. Bunları yapanlar, insanlığın vicdanıyla birlikte uluslararası hukuk önünde de muhakkak hesap vermelidir. Biz hiçbir şekilde sivillere yönelik eylemleri mazur ve meşru görmüyoruz. Bugün Çevrim İçi G20 Zirvesi'ni gerçekleştirdiğimiz tüm liderleri de İsrailli-Filistinli, Yahudi-Müslüman-Hristiyan diye ayırmadan sivil ölümlerine karşı aynı tepkiyi vermeye davet ediyorum. Son olaylarla birlikte, 1967 sınırları temelinde, başkenti Doğu Kudüs olan, İsrail'le yan yana barış içinde yaşayacak bağımsız bir Filistin devletinin kurulmasının ehemmiyetini hep birlikte tekrar gördük. Tüm ülkeleri bu kapsamda iki devletli çözümün tesisi için de inisiyatif almaya çağırıyorum. Biz Türkiye olarak garantörlük dâhil kurulacak yeni güvenlik mimarisinde başka ülkelerle birlikte sorumluluk üstlenmeye hazırız. 4 günlük insani fasıla ilanı ve sınırlı sayıda da olsa rehine ve tutukluların takası konusunda mutabakata varılması olumlu bir gelişmedir. Bu adımın, önceliğimiz olan ve bir an evvel tesis edilmesini beklediğimiz kalıcı ateşkese ve barışa vesile olmasını temenni ediyorum.

 


"
SABAH,"

Esenyurt'ta Baykar Makine Sanayi ve Ticaret A.Ş.'de geçtiğimiz cumartesi günü meydana gelen olayda depo sorumlusu stajyer olarak çalışan Ahmet A.Ç., fabrikadan çıkış yapmak üzere turnikelerden geçerken alarmların ötmesiyle firma görevlileri tarafından durduruldu. Ahmet A.Ç.'nin ön cebinde 4 adet hard disk ve arka cebinde 1 adet tornavida ile çıkış yapmaya çalıştığı tespit edildi. İhbar ve şikayet üzerine olay yerine polis ekipleri intikal etti. Ahmet A.Ç., polis ekipleri tarafından gözaltına alındı. Hard diskler ve tornavidaya da el konuldu. Emniyetteki işlemlerinin ardından Büyükçekmece Adliyesi'ne sevk edilen şüpheli Ahmet A.Ç., Nöbetçi Sulh Ceza Hakimliği tarafından hırsızlık suçundan tutuklanarak cezaevine gönderildi.
CASUSLUK İDDİALARI ARAŞTIRILACAK
Firma yetkilileri tarafından suç duyurusunda bulunulması üzerine Büyükçekmece Cumhuriyet Başsavcılığı tarafından soruşturma başlatıldı. Soruşturma kapsamında hırsızlıkta 'casusluk' değerlendirmesi yapılıp yapılmayacağı hard diskler üzerindeki incelemeler sonucu ortaya çıkacak.
""BİLGİSAYARIMIN HAFIZASINI YÜKSELTECEKTİM""
Öte yandan şüpheli Ahmet A.Ç.'nin de ifadesinde hard diskleri bilgisayarının hafızasını yükseltmek için kullanacağını söylediği öğrenildi.
Ahmet A.Ç., ifadesinde şunları söyledi: ""Firmada depo görevlisi olarak çalışıyorum. Yaptığım iş genellikle bilgisayar isteyen personellere tutanak karşılığında bilgisayarları teslim etmek. Olay günü depoda bulunan tornavida ile raflarda bulunan 4 bilgisayardan 4 hard diski söktüm. İkisini kendi ihtiyacım için aldım. İkisini de amirime verecektim. Hard disklerin içerisinde ne olduğunu bilmiyorum. Kendim için almamın sebebi bilgisayarımın hafızasını harici olarak yükseltmek içindi. Nefsime müdahale edemedim. Çıkış yapmak üzere iken alarmlar çalınca itiraz etmeden hard diskleri ve tornavidayı görevlilere teslim ettim. Pişmanım. Yaptığımın suç olduğunu bilmiyordum""

 


"
SABAH,"

Çevre, Şehircilik ve İklim Değişikliği Bakanlığından yapılan açıklamaya göre, Hasar, Avrupa Birliği Katılım Öncesi Mali Yardım Programı (IPA) II kapsamındaki hibe programına ilişkin bilgi verdi.
Hasar, Türkiye'de İklim Değişikliğine Uyum Eyleminin Güçlendirilmesi Projesi İklim Değişikliğine Uyum Hibe Programıyla, toplumların dirençliliğinin artırılmasının, doğal kaynaklar ve ekosistemlerin geliştirilmesinin, etkilenebilir sosyal kesimlerin, şehirlerin ve ekonomik sektörlerin uyum kapasitelerinin artırılmasının hedeflendiğini vurguladı.
İklim değişikliğine uyum eylemlerinin yerel koşullara göre planlanması gerektiğini belirten Hasar, 2053 Net Sıfır Emisyon ve Yeşil Kalkınma Hedefleri kapsamında çalışmalarını sürdürdüklerini kaydetti.
Hasar, bir yandan çevrenin korunması ve geliştirilmesi adına çalışmalar yürütürken diğer yandan da iklim krizine karşı tüm paydaşlarla işbirliklerini artırdıklarını, Türkiye'nin tamamında iklim değişikliğiyle mücadeleyi temin etmek için hem rehberlik hizmetinde bulunduklarını hem de finansman desteği sağladıklarını ve bu kapsamda yeni hibe programının hazır olduğunu bildirdi. Hasar, şunları kaydetti:
""Hibe Programı belediyeler, bölge ve il müdürlükleri, bölgesel kalkınma ajansları, sivil toplum kuruluşları, üniversiteler, araştırma kurumları, toplum temelli kuruluşlar, odalar, birlikler ve aynı zamanda etkilenebilir tüm noktalara ulaşacak. Yerel ve bölgesel düzeyde iklim değişikliğine uyum kapsamında 6,8 milyon avro hibe vereceğiz. 2053 Net Sıfır Emisyon ve Yeşil Kalkınma hedefine ulaşmak için çalışmalarımızı kararlılıkla sürdüreceğiz. Ulusal İklim Değişikliği Uyum Planları'nda belirtilen eylemlerin hibe programıyla yerelde uygulanmasını hedefliyoruz. Yerelde iklim değişikliğine uyumu gerçekleştirdiğimizde, şehirlerimiz iklim değişikliğine karşı dirençli hale gelecek. Özellikle vatandaşlarımıza ilk hizmet noktası olan belediyelerimizin iklim değişikliğine uyum noktasında kendilerini güncellemeleri için bu finansman desteği büyük önem arz ediyor. İnşallah 2053 Net Sıfır Emisyon ve Yeşil Kalkınma hedeflerimiz kapsamında toplumun tüm kesimiyle güçlü adımlar atmaya devam edeceğiz.""

 


"
SABAH,"

Seferihisar Belediye Başkanı iken ilçede bulunan Tarihi Rum Kilisesi'ne ait çanın makamlara bildirilmeden Yunan Konsolosluğu'na verildiği iddiası soruşturma konusu oldu. İçişleri Bakanlığı Soyer hakkında soruşturma izni verdi. Bakanlık tarafından görevlendirilen mülkiye müfettişleri Seferihisar'a giderek bazı kişilerin bilgisine başvurdu. Geçtiğimiz günlerde İçişleri Bakanlığı İzmir Büyükşehir Belediye Başkanı Tunç Soyer'in geçtiğimiz yıl İzmir'in düşman işgalinden kurtuluş yıldönümü olan 9 Eylül'de Gündoğdu Meydanındaki Tarkan Konseri öncesi yaptığı konuşmayı da mercek altına almış ardından da Osmanlı'nın son İmparator Vahdeddin'e hakaret ettiği iddiası ile Soyer hakkında soruşturma izni vermişti.

İFADESİNE BAŞVURULACAK
Soruşturma kapsamında önümüzdeki günlerde mülkiye başmüfettişlerinin Soyer'in ifadesine başvurabileceği belirtildi. Soyer konuya ilişkin yaptığı açıklamada kayıp çanla ilgili bir bilgisinin olmadığını öne sürdü.


 


"
SABAH,"

Son dakika haberi... Başkan Recep Tayyip Erdoğan, Ankara'da yerel seçimlerle ilgili A Haber'e özel açıklamalarda bulundu. Başkan Erdoğan, İstanbul, Ankara ve İzmir'de aday gösterilecek kişiler hakkında ""Telaşlanmayın. Vakti saati gelince duyarsınız."" dedi.

"
SABAH,"

İYİ Parti'de seçimlerin ardından başlayan kriz aşılamadı. Ardı ardına istifaların yaşandığı partide, bu kez de 132 milyon liralık kayıp para kavgası başladı.

"
SABAH,"

İYİ Parti tarafından hakkındaki iddialar nedeniyle tedbirli ve kesin ihraç istemiyle Disiplin Kuruluna sevk edilen Sakarya Milletvekili Ümit Dikbayır, TBMM Başkanlığına sunduğu dilekçeyle yasama dokunulmazlığının kaldırılması talebinde bulundu.
Dikbayır ayrıca avukatı aracılığıyla Ankara Cumhuriyet Başsavcılığına suç duyurusunda bulunarak görevi kötüye kullanma, ihaleye fesat karıştırma, nüfuzu kötüye kullanma, kişisel verileri ihlal etme suçlarından kendisi hakkında soruşturma yürütülmesini istedi.
İki hafta önce partisinin Meclis Grubuna ve Genel Merkez Disiplin Kuruluna verdiği dilekçelere yanıt alamadığını, bu iddiaların üstünün örtülmesini istemediği için savcılığa suç duyurusunda bulunduğunu kaydeden Dikbayır, aynı doğrultuda dokunulmazlığının kaldırılması için Meclis Başkanlığına başvurduğunu söyledi. Dikbayır, gerçeklerin ortaya çıkmasını istediğini belirterek, süreci takip ettiğini dile getirdi.

 


"
SABAH,"

Milli Savunma Bakanlı'ğın sosyal medya hesabından yapılan açıklamada, ""Hudutlarımızda yasa dışı geçişlere karşı mücadelemiz sürüyor. Yunanistan'dan ülkemize yasa dışı yollarla geçmeye çalışan 2 kişi hudut kartallarımız tarafından yakalandı. Yapılan inceleme sonucunda yakalanan şahısların FETÖ terör örgütü mensubu olduğu belirlendi"" denildi.

 


"
SABAH,"

Başkan Recep Tayyip Erdoğan, sosyal medya hesabından yaptığı açıklamada, şunları kaydetti:
KENDİNİ SAVUNMA HAKKIYLA AÇIKLANAMAZ
İki gün önce 20 Kasım Dünya Çocuk Hakları Günü'ydü. 7 bine yakın masum Filistinli çocuk maalesef bu günü göremedi. Çünkü İsrail yönetimi, bu çocuklarla birlikte 14 bin sivilin en temel hakkı olan ""yaşama hakkını"" onların elinden aldı. Filistinlileri kendi yurtlarından göçe zorladı; ölümden kaçmak için son bir umutla sığındıkları hastaneleri, okulları, kampları, ibadethaneleri, kiliseleri acımasızca bombaladı. Hatta bugüne kadar varlığını hep inkâr ettikleri nükleer bomba kullanma tehdidinde bulunacak kadar kontrolü kaybettiler. Elini vicdanına koyan herkesin kabul edeceği üzere bu yaşananların hiçbiri kendini savunma hakkıyla açıklanamaz.
TÜM ÜLKELERE İNİSİYATİF ÇAĞRISI
Burada açıkça savaş suçu ve insanlığa karşı suç işlenmektedir. Bunları yapanlar, insanlığın vicdanıyla birlikte uluslararası hukuk önünde de muhakkak hesap vermelidir. Biz hiçbir şekilde sivillere yönelik eylemleri mazur ve meşru görmüyoruz. Bugün Çevrim İçi G20 Zirvesi'ni gerçekleştirdiğimiz tüm liderleri de İsrailli-Filistinli, Yahudi-Müslüman-Hristiyan diye ayırmadan sivil ölümlerine karşı aynı tepkiyi vermeye davet ediyorum. Son olaylarla birlikte, 1967 sınırları temelinde, başkenti Doğu Kudüs olan, İsrail'le yan yana barış içinde yaşayacak bağımsız bir Filistin devletinin kurulmasının ehemmiyetini hep birlikte tekrar gördük. Tüm ülkeleri bu kapsamda iki devletli çözümün tesisi için de inisiyatif almaya çağırıyorum. Biz Türkiye olarak garantörlük dâhil kurulacak yeni güvenlik mimarisinde başka ülkelerle birlikte sorumluluk üstlenmeye hazırız. 4 günlük insani fasıla ilanı ve sınırlı sayıda da olsa rehine ve tutukluların takası konusunda mutabakata varılması olumlu bir gelişmedir. Bu adımın, önceliğimiz olan ve bir an evvel tesis edilmesini beklediğimiz kalıcı ateşkese ve barışa vesile olmasını temenni ediyorum.

 


"
SABAH,"

Esenyurt'ta Baykar Makine Sanayi ve Ticaret A.Ş.'de geçtiğimiz cumartesi günü meydana gelen olayda depo sorumlusu stajyer olarak çalışan Ahmet A.Ç., fabrikadan çıkış yapmak üzere turnikelerden geçerken alarmların ötmesiyle firma görevlileri tarafından durduruldu. Ahmet A.Ç.'nin ön cebinde 4 adet hard disk ve arka cebinde 1 adet tornavida ile çıkış yapmaya çalıştığı tespit edildi. İhbar ve şikayet üzerine olay yerine polis ekipleri intikal etti. Ahmet A.Ç., polis ekipleri tarafından gözaltına alındı. Hard diskler ve tornavidaya da el konuldu. Emniyetteki işlemlerinin ardından Büyükçekmece Adliyesi'ne sevk edilen şüpheli Ahmet A.Ç., Nöbetçi Sulh Ceza Hakimliği tarafından hırsızlık suçundan tutuklanarak cezaevine gönderildi.
CASUSLUK İDDİALARI ARAŞTIRILACAK
Firma yetkilileri tarafından suç duyurusunda bulunulması üzerine Büyükçekmece Cumhuriyet Başsavcılığı tarafından soruşturma başlatıldı. Soruşturma kapsamında hırsızlıkta 'casusluk' değerlendirmesi yapılıp yapılmayacağı hard diskler üzerindeki incelemeler sonucu ortaya çıkacak.
""BİLGİSAYARIMIN HAFIZASINI YÜKSELTECEKTİM""
Öte yandan şüpheli Ahmet A.Ç.'nin de ifadesinde hard diskleri bilgisayarının hafızasını yükseltmek için kullanacağını söylediği öğrenildi.
Ahmet A.Ç., ifadesinde şunları söyledi: ""Firmada depo görevlisi olarak çalışıyorum. Yaptığım iş genellikle bilgisayar isteyen personellere tutanak karşılığında bilgisayarları teslim etmek. Olay günü depoda bulunan tornavida ile raflarda bulunan 4 bilgisayardan 4 hard diski söktüm. İkisini kendi ihtiyacım için aldım. İkisini de amirime verecektim. Hard disklerin içerisinde ne olduğunu bilmiyorum. Kendim için almamın sebebi bilgisayarımın hafızasını harici olarak yükseltmek içindi. Nefsime müdahale edemedim. Çıkış yapmak üzere iken alarmlar çalınca itiraz etmeden hard diskleri ve tornavidayı görevlilere teslim ettim. Pişmanım. Yaptığımın suç olduğunu bilmiyordum""

 


"
SABAH,"

Çevre, Şehircilik ve İklim Değişikliği Bakanlığından yapılan açıklamaya göre, Hasar, Avrupa Birliği Katılım Öncesi Mali Yardım Programı (IPA) II kapsamındaki hibe programına ilişkin bilgi verdi.
Hasar, Türkiye'de İklim Değişikliğine Uyum Eyleminin Güçlendirilmesi Projesi İklim Değişikliğine Uyum Hibe Programıyla, toplumların dirençliliğinin artırılmasının, doğal kaynaklar ve ekosistemlerin geliştirilmesinin, etkilenebilir sosyal kesimlerin, şehirlerin ve ekonomik sektörlerin uyum kapasitelerinin artırılmasının hedeflendiğini vurguladı.
İklim değişikliğine uyum eylemlerinin yerel koşullara göre planlanması gerektiğini belirten Hasar, 2053 Net Sıfır Emisyon ve Yeşil Kalkınma Hedefleri kapsamında çalışmalarını sürdürdüklerini kaydetti.
Hasar, bir yandan çevrenin korunması ve geliştirilmesi adına çalışmalar yürütürken diğer yandan da iklim krizine karşı tüm paydaşlarla işbirliklerini artırdıklarını, Türkiye'nin tamamında iklim değişikliğiyle mücadeleyi temin etmek için hem rehberlik hizmetinde bulunduklarını hem de finansman desteği sağladıklarını ve bu kapsamda yeni hibe programının hazır olduğunu bildirdi. Hasar, şunları kaydetti:
""Hibe Programı belediyeler, bölge ve il müdürlükleri, bölgesel kalkınma ajansları, sivil toplum kuruluşları, üniversiteler, araştırma kurumları, toplum temelli kuruluşlar, odalar, birlikler ve aynı zamanda etkilenebilir tüm noktalara ulaşacak. Yerel ve bölgesel düzeyde iklim değişikliğine uyum kapsamında 6,8 milyon avro hibe vereceğiz. 2053 Net Sıfır Emisyon ve Yeşil Kalkınma hedefine ulaşmak için çalışmalarımızı kararlılıkla sürdüreceğiz. Ulusal İklim Değişikliği Uyum Planları'nda belirtilen eylemlerin hibe programıyla yerelde uygulanmasını hedefliyoruz. Yerelde iklim değişikliğine uyumu gerçekleştirdiğimizde, şehirlerimiz iklim değişikliğine karşı dirençli hale gelecek. Özellikle vatandaşlarımıza ilk hizmet noktası olan belediyelerimizin iklim değişikliğine uyum noktasında kendilerini güncellemeleri için bu finansman desteği büyük önem arz ediyor. İnşallah 2053 Net Sıfır Emisyon ve Yeşil Kalkınma hedeflerimiz kapsamında toplumun tüm kesimiyle güçlü adımlar atmaya devam edeceğiz.""

 


"
SABAH,"

Seferihisar Belediye Başkanı iken ilçede bulunan Tarihi Rum Kilisesi'ne ait çanın makamlara bildirilmeden Yunan Konsolosluğu'na verildiği iddiası soruşturma konusu oldu. İçişleri Bakanlığı Soyer hakkında soruşturma izni verdi. Bakanlık tarafından görevlendirilen mülkiye müfettişleri Seferihisar'a giderek bazı kişilerin bilgisine başvurdu. Geçtiğimiz günlerde İçişleri Bakanlığı İzmir Büyükşehir Belediye Başkanı Tunç Soyer'in geçtiğimiz yıl İzmir'in düşman işgalinden kurtuluş yıldönümü olan 9 Eylül'de Gündoğdu Meydanındaki Tarkan Konseri öncesi yaptığı konuşmayı da mercek altına almış ardından da Osmanlı'nın son İmparator Vahdeddin'e hakaret ettiği iddiası ile Soyer hakkında soruşturma izni vermişti.

İFADESİNE BAŞVURULACAK
Soruşturma kapsamında önümüzdeki günlerde mülkiye başmüfettişlerinin Soyer'in ifadesine başvurabileceği belirtildi. Soyer konuya ilişkin yaptığı açıklamada kayıp çanla ilgili bir bilgisinin olmadığını öne sürdü.


 


"
SABAH,"

Son dakika haberi... Başkan Recep Tayyip Erdoğan, Ankara'da yerel seçimlerle ilgili A Haber'e özel açıklamalarda bulundu. Başkan Erdoğan, İstanbul, Ankara ve İzmir'de aday gösterilecek kişiler hakkında ""Telaşlanmayın. Vakti saati gelince duyarsınız."" dedi.

"
SABAH,"

İYİ Parti'de seçimlerin ardından başlayan kriz aşılamadı. Ardı ardına istifaların yaşandığı partide, bu kez de 132 milyon liralık kayıp para kavgası başladı.

"
SABAH,"

İYİ Parti tarafından hakkındaki iddialar nedeniyle tedbirli ve kesin ihraç istemiyle Disiplin Kuruluna sevk edilen Sakarya Milletvekili Ümit Dikbayır, TBMM Başkanlığına sunduğu dilekçeyle yasama dokunulmazlığının kaldırılması talebinde bulundu.
Dikbayır ayrıca avukatı aracılığıyla Ankara Cumhuriyet Başsavcılığına suç duyurusunda bulunarak görevi kötüye kullanma, ihaleye fesat karıştırma, nüfuzu kötüye kullanma, kişisel verileri ihlal etme suçlarından kendisi hakkında soruşturma yürütülmesini istedi.
İki hafta önce partisinin Meclis Grubuna ve Genel Merkez Disiplin Kuruluna verdiği dilekçelere yanıt alamadığını, bu iddiaların üstünün örtülmesini istemediği için savcılığa suç duyurusunda bulunduğunu kaydeden Dikbayır, aynı doğrultuda dokunulmazlığının kaldırılması için Meclis Başkanlığına başvurduğunu söyledi. Dikbayır, gerçeklerin ortaya çıkmasını istediğini belirterek, süreci takip ettiğini dile getirdi.

 


"
